Name,Stars,Language,Created 
incubator-commonsrdf,7,Java,2015-03-19T07:00:05
incubator-concerted,7,C++,2015-10-23T07:00:05
incubator-corinthia,11,HTML,2014-12-18T08:00:05
incubator-cotton,63,Python,2015-08-01T07:00:05
incubator-datafu,51,HTML,2014-01-14T08:00:07
incubator-eagle,57,Java,2015-11-18T08:00:06
incubator-fineract,16,Java,2015-12-22T08:00:06
incubator-fineract-site,1,HTML,2015-12-22T08:00:06
incubator-freemarker,40,Java,2015-09-04T07:00:05
incubator-freemarker-docgen,0,Java,2015-09-04T07:00:05
incubator-freemarker-site,1,HTML,2015-09-04T07:00:05
incubator-gearpump,4,Scala,2016-04-13T07:00:08
incubator-geode,467,Java,2015-04-30T07:00:05
incubator-guacamole,0,None,2016-02-11T08:00:06
incubator-guacamole-client,0,Java,2016-03-22T07:00:06
incubator-guacamole-manual,0,XSLT,2016-03-22T07:00:06
incubator-guacamole-server,0,C,2016-03-22T07:00:06
incubator-hawq,145,C,2015-09-05T07:00:05
incubator-hawq-site,2,HTML,2015-09-19T07:00:06
incubator-hdt,6,Java,2013-01-05T08:00:24
incubator-horn,20,Java,2015-09-18T07:00:05
incubator-horn-site,5,CSS,2015-09-15T07:00:05
incubator-htrace,17,Java,2015-04-22T07:00:05
incubator-ignite,2,None,2015-08-22T07:00:05
incubator-impala,0,C++,2016-04-13T07:00:08
incubator-iota,1,None,2016-02-06T08:00:06
incubator-iota-site,0,None,2016-02-06T08:00:06
incubator-johnzon,4,Java,2014-09-11T07:00:06
incubator-joshua,9,Java,2016-03-25T07:00:06
incubator-knox,2,Java,2013-10-01T07:00:12
incubator-kudu,61,C++,2016-01-29T08:00:06
incubator-lens,0,None,2015-08-22T07:00:05
incubator-madlib,42,C,2015-09-19T07:00:06
incubator-madlib-site,1,HTML,2015-09-19T07:00:06
incubator-metron,44,Java,2015-12-08T08:00:05
incubator-milagro,0,None,2016-02-05T08:00:06
incubator-mnemonic,13,Java,2016-03-29T07:00:06
incubator-mrql,11,Java,2015-04-18T07:00:05
incubator-mynewt-blinky,1,C,2015-10-29T07:00:07
incubator-mynewt-core,36,C,2015-10-29T07:00:07
incubator-mynewt-documentation,0,None,2015-10-29T07:00:06
incubator-mynewt-newt,7,Go,2015-10-29T07:00:07
incubator-mynewt-newtmgr,0,None,2016-03-26T07:00:06
incubator-mynewt-site,7,HTML,2016-02-11T08:00:06
incubator-myriad,46,Java,2015-04-04T07:00:05
incubator-olingo-odata3-js,0,None,2014-03-21T07:00:06
incubator-omid,0,Java,2016-04-14T07:00:06
incubator-openaz,8,Java,2015-04-11T07:00:06
incubator-optiq-csv,1,Java,2014-06-25T07:00:07
incubator-optiq-linq4j,1,Java,2014-06-25T07:00:07
incubator-parquet-cpp,0,None,2015-04-23T07:00:05
incubator-parquet-format,0,None,2015-04-23T07:00:06
incubator-parquet-mr,0,None,2015-04-23T07:00:06
incubator-provisionr,4,Java,2013-06-12T07:00:18
incubator-quarks,6,Java,2016-03-10T08:00:06
incubator-quarks-website,0,HTML,2016-03-03T08:00:07
incubator-quickstep,3,C++,2016-04-14T07:00:07
incubator-quickstep-site,1,HTML,2016-04-14T07:00:06
incubator-ranger,26,Java,2014-07-27T07:00:08
incubator-ripple,179,JavaScript,2013-04-08T07:20:21
incubator-rya,7,Java,2015-10-06T07:00:05
incubator-s2graph,18,Scala,2016-01-08T08:00:06
incubator-s4,32,Java,2012-01-13T08:00:11
incubator-samoa,90,Java,2015-01-27T08:00:05
incubator-sentry,30,Java,2013-08-29T07:00:18
incubator-singa,583,C++,2015-04-02T07:00:05
incubator-slider,40,Java,2014-05-22T07:00:07
incubator-streams,19,Java,2014-03-18T07:00:06
incubator-streams-examples,0,Java,2015-02-17T08:00:05
incubator-streams-master,0,None,2015-06-16T07:00:05
incubator-systemml,267,Java,2015-11-10T08:00:06
incubator-systemml-website,0,CSS,2015-11-21T08:00:05
incubator-tajo,17,Java,2014-03-21T07:00:07
incubator-tamaya,13,Java,2014-11-21T08:00:09
incubator-taverna-commandline,1,Java,2015-02-18T08:00:05
incubator-taverna-common-activities,1,Java,2015-02-18T08:00:05
incubator-taverna-databundle-viewer,1,Ruby,2015-05-07T07:00:05
incubator-taverna-engine,2,Java,2015-02-18T08:00:05
incubator-taverna-language,9,Java,2015-02-18T08:00:05
incubator-taverna-maven-parent,2,None,2015-02-18T08:00:06
incubator-taverna-mobile,2,Java,2015-05-07T07:00:05
incubator-taverna-osgi,1,Java,2015-02-18T08:00:06
incubator-taverna-plugin-bioinformatics,2,Java,2015-02-18T08:00:06
incubator-taverna-plugin-component,1,Java,2015-02-18T08:00:06
incubator-taverna-server,2,Java,2015-02-18T08:00:06
incubator-taverna-site,3,HTML,2015-01-15T08:00:05
incubator-taverna-workbench,1,Java,2015-02-18T08:00:06
incubator-taverna-workbench-common-activities,1,Java,2015-02-18T08:00:06
incubator-taverna-workbench-product,1,Shell,2015-02-18T08:00:06
incubator-tez,46,Java,2013-06-12T07:00:18
incubator-tinkerpop,154,Java,2015-02-07T08:00:05
incubator-toree,97,Scala,2016-01-07T08:00:06
incubator-toree-website,2,CSS,2016-01-07T08:00:05
incubator-trafodion,33,C++,2015-05-27T07:00:05
incubator-twill,42,Java,2014-01-26T08:00:07
incubator-unomi,2,Java,2015-11-24T08:00:05
incubator-usergrid,3,None,2015-08-22T07:00:05
incubator-wave,73,Java,2013-12-17T08:00:14
incubator-wave-android,1,Java,2015-09-01T07:00:05
incubator-wave-docs,4,Python,2015-05-01T07:00:05
incubator-zeppelin,1392,Java,2015-03-25T07:00:06
infrastructure-packer,0,Shell,2015-11-17T08:00:05
infrastructure-puppet,12,Python,2014-11-18T08:00:05
infrastructure-puppet-kitchen,0,Ruby,2016-04-07T07:00:05
infrastructure-whimsy,0,HTML,2015-02-04T08:00:05
isis,226,Java,2012-11-30T08:00:24
jackrabbit,110,Java,2009-05-21T01:43:24
jackrabbit-filevault,14,Java,2014-01-18T08:00:07
jackrabbit-oak,144,Java,2012-03-08T08:00:14
jackrabbit-ocm,2,Java,2014-01-18T08:00:07
james,39,Java,2009-03-27T15:41:52
james-app,2,Java,2012-07-15T07:00:28
james-hupa,10,Java,2012-07-15T07:00:25
james-imap,3,Java,2011-08-23T07:00:11
james-jdkim,2,Java,2012-07-15T07:00:28
james-jsieve,1,Java,2012-07-15T07:00:29
james-jspf,2,Java,2011-11-25T08:00:22
james-mailbox,14,Java,2011-08-23T07:00:10
james-mailet,0,Java,2012-12-03T08:00:27
james-mime4j,9,Java,2011-12-09T08:00:19
james-mpt,0,Java,2015-07-14T07:00:06
james-postage,1,Java,2012-07-15T07:00:27
james-project,10,Java,2015-07-11T07:00:06
james-protocols,4,Java,2011-09-28T07:00:09
jclouds,22,Java,2014-01-07T08:00:06
jena,211,Java,2013-01-04T08:00:32
jmeter,382,Java,2010-05-26T23:38:07
jsecurity,4,Java,2009-05-21T01:32:23
jspwiki,15,Java,2009-03-27T15:41:58
juddi,3,Java,2014-02-21T08:00:09
juddi-scout,1,Java,2014-02-21T08:00:08
juddi-styles,1,XSLT,2014-02-21T08:00:08
kafka,2991,Java,2011-08-15T18:06:16
kafka-site,5,HTML,2015-08-25T07:00:05
kalumet,5,Java,2011-11-06T07:00:10
kandula,2,Java,2011-08-12T07:00:09
karaf,225,Java,2010-08-12T03:32:41
karaf-boot,0,None,2016-04-19T07:00:05
karaf-cave,4,Java,2012-06-04T07:00:25
karaf-cellar,20,Java,2011-05-22T07:00:07
karaf-decanter,8,JavaScript,2014-11-06T08:00:07
karaf-eik,4,Java,2014-01-06T17:23:04
karaf-site,2,HTML,2011-02-14T08:00:29
karaf-webconsole,3,Java,2012-08-02T07:00:17
knox,19,Java,2014-03-01T08:00:06
kylin,376,Java,2015-01-03T08:00:05
lens,22,Java,2014-11-12T08:00:06
lenya,13,Java,2011-12-26T08:00:11
libcloud,815,Python,2009-12-11T09:00:14
log4cxx,45,C++,2009-03-27T15:41:54
log4j,262,Java,2009-05-21T01:31:38
log4j-component,4,Java,2010-05-26T23:38:07
log4j-extras,9,Java,2010-05-26T23:38:08
log4j-receivers,3,Java,2010-05-26T23:38:08
log4j-zeroconf,3,Java,2010-05-26T23:38:08
log4net,288,C#,2009-05-21T00:58:13
logging-log4j2,121,Java,2013-06-12T07:00:19
logging-log4php,52,PHP,2012-12-08T08:00:18
lucene-solr,173,Java,2016-01-23T08:00:06
lucenenet,463,C#,2009-03-27T15:41:57
lucy,65,C,2011-11-19T08:00:16
lucy-charmonizer,3,C,2014-01-06T17:23:04
lucy-clownfish,7,C,2014-01-06T17:23:04
mahout,786,Java,2014-05-23T07:00:07
manifoldcf,31,Java,2012-06-22T07:00:16
manifoldcf-integration-sharepoint-2007,1,C#,2013-08-07T07:00:15
manifoldcf-integration-sharepoint-2010,1,C#,2013-08-07T07:00:16
manifoldcf-integration-solr-3.x,0,Java,2013-08-07T07:00:16
manifoldcf-integration-solr-4.x,3,Java,2013-08-07T07:00:16
marmotta,24,Java,2014-01-22T08:00:07
matt-test,0,None,2015-11-26T09:27:33
maven,473,Java,2009-05-21T03:22:03
maven-2,6,Java,2010-05-26T23:38:07
maven-ant-tasks,4,Java,2009-05-21T02:08:07
maven-app-engine,3,Java,2011-11-06T07:00:10
maven-archetype,29,Java,2009-05-21T08:40:29
maven-artifact,5,Java,2009-05-21T03:16:01
maven-doxia,8,Java,2009-05-21T03:16:25
maven-doxia-sitetools,1,Java,2009-05-21T01:42:15
maven-doxia-tools,3,Java,2009-05-21T01:13:12
maven-enforcer,10,Java,2009-05-21T00:59:40
maven-indexer,14,Java,2014-04-22T07:00:07
maven-integration-testing,6,Java,2010-11-17T08:00:07
maven-jxr,1,Java,2009-05-21T02:28:15
maven-mercury,1,Java,2009-05-21T01:03:45
maven-plugin-testing,4,Java,2009-05-21T02:08:54
maven-plugin-tools,8,Java,2009-05-21T08:41:42
maven-plugins,129,Java,2009-05-21T00:33:19
maven-pom,11,Shell,2009-05-21T02:11:27
maven-release,29,Java,2009-05-21T00:59:16
maven-repository-tools,3,Perl,2009-05-21T01:35:26
maven-resources,2,Java,2009-05-20T02:01:27
maven-sandbox,4,Java,2009-05-21T02:09:15
maven-scm,36,Java,2009-05-21T00:33:04
maven-shared,18,Java,2009-05-21T01:21:13
maven-site,6,ApacheConf,2009-05-21T02:09:00
maven-skins,19,CSS,2009-05-21T01:35:11
maven-surefire,103,Java,2010-08-12T03:32:41
maven-wagon,18,Java,2009-05-20T02:01:12
mesos,2219,C++,2013-07-17T07:00:13
metamodel,48,Java,2013-08-07T07:00:14
mina,293,Java,2009-05-21T01:13:51
mina-sshd,51,Java,2010-05-26T23:38:08
mod_perl,13,Perl,2010-09-04T07:00:06
mrunit,30,Java,2011-03-26T07:00:07
myfaces,14,Java,2009-08-06T08:00:20
myfaces-extcdi,9,Java,2010-11-11T08:00:17
myfaces-extval,2,Java,2010-11-11T08:00:18
myfaces-html5,7,Java,2010-09-18T07:00:07
myfaces-portlet-bridge,1,Java,2011-05-15T07:00:10
myfaces-scripting,2,Java,2010-05-26T23:38:08
nifi,257,Java,2014-12-12T08:00:05
nifi-maven,3,Java,2015-08-23T07:00:06
nifi-minifi,4,Java,2016-03-19T07:00:06
nifi-minifi-cpp,0,None,2016-04-21T07:00:06
nifi-site,3,CSS,2015-08-23T07:00:06
npanday,8,C#,2010-09-18T07:00:08
npanday-its,2,C#,2011-08-15T07:00:09
nutch,670,Java,2009-05-21T01:17:48
nuvem,2,Java,2010-08-12T03:32:41
ode,38,Java,2009-05-21T02:41:15
ode-console,1,JavaScript,2015-03-12T07:00:05
ode-jacob,1,Java,2013-04-29T22:27:17
odftoolkit,13,Java,2012-07-28T07:00:12
ofbiz,326,Java,2009-05-20T01:47:56
olingo-odata2,14,Java,2014-04-16T07:00:07
olingo-odata4,29,Java,2014-04-16T07:00:08
olingo-odata4-js,18,JavaScript,2014-04-16T07:00:08
oltu,66,Java,2013-05-28T07:00:14
oodt,22,Java,2013-01-21T08:00:15
oozie,189,Java,2011-09-14T07:00:10
openejb,7,Java,2013-01-23T08:00:17
openjpa,36,Java,2009-05-21T01:13:25
openmeetings,16,Java,2015-03-13T07:00:05
opennlp,169,Java,2011-11-09T08:00:09
openoffice,89,C++,2013-11-13T08:00:13
openwebbeans,23,Java,2011-01-28T08:00:11
orc,29,C++,2015-05-06T07:00:05
parquet-cpp,44,C++,2014-06-10T07:00:07
parquet-format,105,Java,2014-06-10T07:00:07
parquet-mr,223,Java,2014-06-10T07:00:07
pdfbox,292,Java,2009-09-26T08:00:19
pdfbox-docs,2,HTML,2014-11-04T08:00:08
pdfbox-examples,0,None,2014-11-04T08:00:08
phoenix,185,Java,2014-06-04T07:00:08
photark,7,Java,2010-08-12T03:32:41
photark-mobile,3,JavaScript,2012-03-22T07:00:39
pig,423,Java,2009-05-21T01:10:43
pivot,13,Java,2011-08-18T07:00:12
pluto,2,Java,2009-05-21T01:09:18
poi,153,Java,2009-05-21T01:15:15
